"Length"
"18"
"13"
"9"
"6"
"7"
"22"
"17"
"14"
"11"
"57"
"50"
"6"
"5"
"59"
"53"
"19"
"13"
"55"
"40"
"45"
"48"
"54"
"48"
"38"
"33"
"41"
"31"
"44"
"42"
"32"
"45"
"46"
"45"
"52"
"41"
"35"
"29"
"38"
"37"
"51"
"42"
"37"
"40"
"49"
"48"
"57"
"48"
"44"
"73"
"77"
"66"
"38"
"46"
"36"
"33"
"39"
"47"
"38"
"40"
"38"
"38"
"37"
"53"
"54"
"36"
"33"
"40"
"51"
"35"
"35"
"52"
"46"
"38"
"39"
"38"
"41"
"50"
"48"
"48"
"54"
"33"
"36"
"36"
"36"
"57"
"51"
"42"
"59"
"63"
"57"
"70"
"64"
"56"
"55"
"49"
"57"
"51"
"66"
"60"
"63"
"57"
"35"
"43"
"43"
"53"
"36"
"35"
"56"
"55"
"50"
"49"
"51"
"50"
"49"
"47"
"44"
"47"
"56"
"39"
"46"
"41"
"40"
"46"
"42"
"36"
"46"
"40"
"45"
"39"
"45"
"48"
"40"
"33"
"35"
"56"
"50"
"50"
"48"
"63"
"58"
"40"
"46"
"40"
"41"
"58"
"41"
"35"
"50"
"44"
"47"
"41"
"43"
"37"
"35"
"55"
"49"
"52"
"60"
"67"
"47"
"47"
"49"
"65"
"55"
"69"
"75"
"65"
"48"
"46"
"38"
"34"
"40"
"34"
"44"
"58"
"58"
"44"
"67"
"65"
"65"
"68"
"62"
"61"
"55"
"46"
"40"
"63"
"57"
"38"
"34"
"46"
"40"
"41"
"55"
"49"
"45"
"69"
"61"
"57"
"68"
"58"
"42"
"36"
"32"
"40"
"34"
"86"
"36"
"53"
"55"
"55"
"53"
"57"
"47"
"38"
"49"
"51"
"46"
"34"
"33"
"42"
"34"
"26"
"34"
"36"
"49"
"44"
"51"
"54"
"44"
"34"
"34"
"42"
"36"
"33"
"27"
"31"
"36"
"37"
"73"
"67"
"65"
"61"
"69"
"49"
"63"
"33"
"56"
"47"
"43"
"44"
"44"
"38"
"41"
"36"
"40"
"45"
"47"
"40"
"50"
"44"
"46"
"42"
"45"
"39"
"43"
"41"
"51"
"42"
"41"
"49"
"38"
"36"
"39"
"38"
"43"
"71"
"33"
"37"
"46"
"36"
"51"
"45"
"35"
"33"
"41"
"56"
"50"
"52"
"46"
"56"
"50"
"56"
"56"
"53"
"36"
"46"
"51"
"45"
"29"
"38"
"40"
"48"
"33"
"38"
"50"
"49"
"44"
"33"
"57"
"51"
"37"
"41"
"48"
"45"
"44"
"47"
"48"
"37"
"33"
"27"
"55"
"40"
"53"
"52"
"57"
"44"
"52"
"67"
"48"
"42"
"49"
"43"
"43"
"43"
"43"
"37"
"41"
"35"
"47"
"40"
"48"
"42"
"48"
"78"
"76"
"72"
"41"
"41"
"43"
"42"
"50"
"49"
"41"
"42"
"42"
"36"
"43"
"58"
"58"
"57"
"45"
"46"
"46"
"38"
"48"
"46"
"43"
"40"
"34"
"37"
"41"
"70"
"72"
"73"
"44"
"41"
"46"
"47"
"47"
"55"
"41"
"38"
"49"
"48"
"60"
"54"
"40"
"66"
"63"
"24"
"66"
"58"
"72"
"71"
"53"
"78"
"59"
"39"
"35"
"37"
"39"
"38"
"50"
"44"
"44"
"38"
"43"
"50"
"44"
"42"
"36"
"40"
"50"
"51"
"42"
"39"
"55"
"58"
"58"
"77"
"72"
"61"
"55"
"49"
"35"
"31"
"37"
"46"
"33"
"65"
"56"
"62"
"65"
"58"
"41"
"42"
"33"
"27"
"15"
